the friend	el amigo
to ask (a question)	preguntar
to lend	prestar
to bring	traer
to go shopping	ir de compras
to take a ride	pasear en el carro
outskirts, suburbs	las afueras
to taste, to take a taste	probar
the area	el área (f.)
how can I serve (help) you	en qué puedo servirles
to recommend	recomendar
seafood	los mariscos
a little while	un rato
excuse me	disculpe
are you ready to order	están Uds. listos para ordenar
the lobster	la langosta
clam chowder	crema de almejas
crab	el cangrejo
garlic	el ajo
shrimp	los camarones
to pack the suitcase	arreglar la maleta
to carry	cargar
to dine	cenar
to take a walk	dar una vuelta
to await	esperar
to delay	tardar
the seat	el asiento
the headphones	los audífonos
the stewardess, flight attendant	la azafata
the image	la imagen
the aisle	el pasillo
the window in a car, boat, or airplane	la ventanilla
the flight	el vuelo
that which, (often translated as) what	lo que
there is a lot to do	hay mucho que hacer
round-trip	ida y vuelta
to embrace, to hug	abrazar
to accompany	acompañar
to love	amar
to help	ayudar
to kiss	besar
to be acquainted with, to know (a person or place)	conocer
to take care of	cuidar
to leave (something or someone) behind	dejar
to wait for	esperar
to miss (a person or a place)	extrañar
to yell at, to scream at	gritar
to invite	invitar
to carry, to carry off, to carry away; to wear	llevar
to kill	matar
to look at, to watch	mirar
to love a person	querer + a + person
to gather, to pick up	recoger
to visit	visitar
to embrace	abrazar
to get off	bajarse de
to face / overlook (the plaza)	dar a (la plaza)
to pick up	recoger
to jump	saltar
to stamp	sellar
customs	la aduana
the welcome	la bienvenida
the driver	el conductor
the owner	el dueño
the line	la fila
the tear	la lágrima
the suitcase	la maleta
the register	el registro
the smile	la sonrisa
the fare	la tarifa
the traveler	el viajero
to bathe oneself	bañarse
to dedicate oneself	dedicarse
to defend oneself	defenderse
to amuse oneself, to have a good time	divertirse
to express oneself	expresarse
to wash oneself	lavarse
to call oneself	llamarse
to ask oneself, to wonder	preguntarse
to go to bed to wake oneself	acostarse
to wake up, to wake oneself	despertarse
to shower, to take a shower	ducharse
to fall asleep	dormirse
to get sick	enfermarse
to get up, to raise oneself	levantarse
to sit down, to seat oneself	sentarse
to get dressed	vestirse
to shave	afeitarse
to brush (one’s teeth, one’s hair)	cepillarse (los dientes, el pelo)
to put makeup on, to make up (one’s face)	maquillarse (la cara)
to comb (one’s hair)	peinarse (el pelo)
to put makeup on, to put (nail) polish on	pintarse (las uñas)
to put on (clothing)	ponerse
to take off (clothing)	quitarse
to become happy, to be glad	alegrarse (de)
to cheer up	animarse
to get frightened / scared	asustarse
to calm down	calmarse
to get angry	enfadarse (con)
to worry	preocuparse (de)
to remain	quedarse
to move (from one place to another)	mudarse
to stand up	pararse
to fall down	caerse
to go away, to leave quickly	irse
to move	moverse
to get ready to go out, to fix oneself up	arreglarse
to take advantage of	aprovecharse (de)
to dare to	atreverse (a)
to make fun of	burlarse (de)
to become quiet	callarse
to have breakfast	desayunarse
to fall in love with	enamorarse (de)
to make a mistake	equivocarse
to trust, to have trust in	fiarse (en)
to notice	fijarse (en)
to hurt oneself	lastimarse
to get along (well) with	llevarse (bien) (con)
to get better	mejorarse
to get involved in, to meddle	meterse (en)
to behave oneself (well / badly)	portarse (bien / mal)
to complain about	quejarse (de)
to burn oneself, to get burned	quemarse
to meet with	reunirse (con)
to realize	darse cuenta (de)
to meet	encontrarse (con)
to die	morirse
to resemble, to look like	parecerse (a)
to laugh	reírse
to feel (well / ill) (or any emotion or health condition)	sentirse (bien / mal)
to help each other	ayudarse
to know each other	conocerse
to understand each other	entenderse
to write to each other	escribirse
to speak to each other	hablarse
to love each other	quererse
to see each other	verse
to rush	apresurarse
to chat	charlar
to let	dejar
to fill up	llenarse
the shrimp	los camarones
the cream	la nata
the pastry	el pastel
cozy	acogedor
energetic, excited	animado
satisfied	complacido
thin, slim	delgado
talkative	hablador(-a)
busy	ocupado
radiant	radiante
seated	sentado
far away	a lo lejos
outside my window	más allá de mi ventana
above all	sobre todo
it is good (that)	es bueno (que)
it is difficult (that)	es difícil (que)
it is doubtful (that)	es dudoso (que)
it is easy (that)	es fácil (que)
it is impossible (that)	es imposible (que)
it is important (that)	es importante (que)
it is bad (that)	es malo (que)
it is better (that)	es mejor (que)
it is necessary (that)	es necesario (que)
it is possible (that)	es posible (que)
it is probable (that)	es probable (que)
it is extremely necessary (that)	es preciso (que)
it is a pity (that)	es una lástima (que)
it is urgent (that)	es urgente (que)
to be glad	alegrarse de
to hope	esperar
to be happy	estar contento de
to be sad	estar triste de
to be pleasing	gustarle a uno
to regret	sentir
to be afraid of, to fear	tener miedo de, temer
to advise	aconsejar
to tell (someone to do something)	decir
to permit, to let	dejar
to insist	insistir en
to request, to ask for	pedir
to permit	permitir
to prohibit	prohibir
to order	mandar
to suggest	sugerir
in case	en caso de que
in order that, so that	para que
unless	a menos que
as soon as	luego que
to thank	agradecer
to take one’s leave	despedirse
the embrace	el abrazo
human warmth	el calor humano
affection	el cariño
the farewell	la despedida
the end	el fin
the solitude	la soledad
actually	realmente
nowadays, at the present time	actualmente
the ancient	lo antiguo
the historic	lo histórico
the best	lo major
last night	anoche
yesterday	ayer
the day before yesterday	anteayer
ago (when it is used before a period of time in the past)	hace
(two days) ago	hace (dos días)
past, last	pasado
last week	la semana pasada
last month	el mes pasado
last year	el año pasado
to contradict, I contradicted	contradecir, contradije
to undo, I undid	deshacer, deshice
to compose, I composed	componer, compuse
to propose, I proposed	proponer, propuse
to contain, I contained	contener, contuve
to detain, I detained	detener, detuve
to maintain, I maintained	mantener, mantuve
to drive, I drove	conducir, conduje
to translate, I translated	traducir, traduje
to attract, I attracted	atraer, atraje
to distract, I distracted	distraer, distraje
to prevent, I prevented	prevenir, previne
to drown	ahogarse
to carry, to load	cargar
to punish	castigar
to hang	colgar
to hand in, to deliver	entregar
to get up early	madrugar
to hit, to glue	pegar
to swallow	tragar
to wander	vagar
to approach	acercarse
to pull out, to root out	arrancar
to put, to place	colocar
to stick out	destacar
to justify	justificar
to chew	mascar
to fish	pescar
to publish	publicar
to take out	sacar
to beg	suplicar
to reach, to overtake	alcanzar
to threaten	amenazar
to throw, to shoot	lanzar
to fulfill	realizar
to pray	rezar
to bump into	tropezarse (con)
to fall	caer
to build	construir
to destory	destruir
to believe	creer
to conclude	concluir
to contribute	contribuir
to distribute	distribuir
to flow	fluir
to flee	huir
to include	incluir
to influence	influir
to possess	poseer
to guess	adivinar
to intend, to try	intentar
the events	los acontecimientos
the citizen	el ciudadano
the key, the code	la clave
the court	la corte
the issue	la cuestión
the rest	los demás
the dialogue	el diálogo
the god of Delphi	el dios de Delfos
the scene	la escena
the politician	el político
the prejudice	el prejuicio
the knowledge	la sabiduría
the verdict	el veredicto
fair, just	justo
main, principal	principal
wise	sabio
wise, clever	sagaz
following	siguiente
to check out, to verify	averiguar
I have had (present perfect tense)	he tenido
to value	valer
the art	el arte
Spanish art	el arte español
fine arts	las bellas artes
skillful, capable	hábil
own	propio
which one?, which ones?	¿cuál?, ¿cuáles?
when?	¿cuándo?
how much?, how many?	¿cuánto?, ¿cuántos?
why?	¿por qué?
what?	¿qué?
between	entre
happy, glad	alegre
It is five o’clock	Son las cinco
It is six o’clock	Son las seis
It is seven o’clock	Son las siete
It is eight o’clock	Son las ocho
It is nine o’clock	Son las nueve
It is ten o’clock	Son las diez
It is eleven o’clock	Son las once
It is twelve o’clock	Son las doce
It is good	Es bueno
It is difficult	Es difícil
It is easy	Es fácil
It is impossible	Es imposible
It is important	Es importante
It is bad	Es malo
It is better	Es mejor
It is necessary	Es necesario
It is possible	Es posible
It is probable	Es probable
It’s a shame / It’s a pity	Es una lástima
It is urgent	Es urgente
okay, fine	está bien
to be fine	estar bien
to be with	estar con
to be in agreement with	estar de acuerdo con
to be in a good mood	estar de buen genio
to be in a bad mood	estar de mal genio
to be standing up	estar de pie
to be on one’s knees	estar de rodillas
to be on vacation	estar de vacaciones
to be returning	estar de vuelta
to be in danger	estar en peligro
to be between life and death	estar entre la vida y la muerte
to be ready	estar listo
to be bad (adverb)	estar mal
to be about to	estar para
to be in favor of	estar por
to be without	estar sin
to be good	ser bueno
to be bad	ser malo
to be clever	ser listo
to be all ears	ser todo oídos
to be	estar
known	conocido
constructed	construido
unbearable	insoportable
on the top (of a mountain)	en la cumbre
two days ago	hace dos días
to acquire	adquirir
to separate	apartarse
to warm	calentar
to quiet	callar
to grow	crecer
to detain	detenerse
had said (past perfect tense)	había dicho
to begin to	ponerse (a)
to burn	quemar
the roosters	los gallos
together	juntos
upon (doing something)	al + infinitive
upon separating	al apartarse
embracing	abrazando
guessing	adivinando
renting	alquilando
arranging, repairing, fixing	arreglando
risking	arriesgando
descending, going down	bajando
beginning	comenzando
delivering, handing in	entregando
waiting	esperando
scrubbing, washing dishes	fregando
playing	jugando
showing	mostrando
thinking	pensando
testing, proving	probando
remembering	recordando
taking out, getting	sacando
dreaming	soñando
trembling	temblando
flying	volando
drinking	bebiendo
eating	comiendo
running	corriendo
sewing	cosiendo
returning (an object)	devolviendo
doing, making	haciendo
moving (an object)	moviendo
losing	perdiendo
putting	poniendo
returning	volviendo
opening	abriendo
sharing	compartiendo
deciding	decidiendo
writing	escribiendo
insisting	insistiendo
receiving	recibiendo
ascending, going up	subiendo
suffering	sufriendo
attracting	atrayendo
falling	cayendo
believing	creyendo
reading	leyendo
possessing	poseyendo
bringing	trayendo
constructing, building	construyendo
contributing	contribuyendo
destroying	destruyendo
fleeing	huyendo
hearing	oyendo
sleeping	durmiendo
dying	muriendo
warning	advirtiendo
boiling	hirviendo
lying	mintiendo
preferring	prefiriendo
referring	refiriendo
regretting	sintiendo
suggesting	sugiriendo
blessing	bendiciendo
competing	compitiendo
obtaining	consiguiendo
correcting	corrigiendo
saying, telling	diciendo
electing	eligiendo
frying	friendo
groaning	gimiendo
measuring	midiendo
requesting	pidiendo
repeating	repitiendo
serving	sirviendo
smiling	sonriendo
it to me	me lo, me la
them to me	me los, me las
it to you	te lo, te la
them to you	te los, te las
it to him, it to her, it to you, it to them	se lo, se la
them to him, them to her, them to you, them to them	se los, se las
it to us	nos lo, nos la
them to us	nos los, nos las
to become aware	enterarse
to be seated	estar sentado
to go (compared with ir, irse expresses more immediacy)	irse
to put makeup on	maquillarse
one notices	se nota
one sees	se ve
chess	el ajedrez
the lipstick	el colorete
the fan	el fanático
hour after hour	hora tras hora
to recuperate	recuperarse
to retire	retirarse
to sob	sollozar
to let (do something)	dejar + infinitive
to carry someone or something away	llevárselo
the stretcher	la camilla
the cold	el catarro
the flu	la gripe
pneumonia	la pulmonía
relieved	aliviado
desolate	desolado
hers (refers to her hand)	la suya
son of mine (gives more emphasis than mi hijo (my son))	hijo mío
to annul	anular
to pull, to root out	arrancar
to load	cargar
to place	colocar
to be ignorant of	ignorar
to succeed in	lograr
to pay for	pagar
to underline	subrayar
to wake up, to brighten	amanecer
to establish	establecer
to deserve	merecer
to be born	nacer
to obey	obedecer
to offer	ofrecer
to seem	parecer
to belong	pertenecer
to recognize	reconocer
to lie down	yacer
to insert	introducir
to light up	lucir
to produce	producir
to reduce	reducir
to translate	traducir
to be pleasing to someone	gustarle a uno
to fear	temer
to desire	desear
to desire, to want	querer
to doubt	dudar
not to believe	no creer
not to think	no pensar
to examine	examinar
has resulted (present perfect tense)	ha resultado
have had (present perfect tense)	he tenido
to have something to do with	tener que ver con
the accusation	la acusación
the assembly	la asamblea
the defense	la defensa
the investigation	la investigación
the judgment	el juicio
guilty	culpable
Dance	Baila
Sing	Canta
Look	Mira
Listen	Escucha
Begin	Empieza
Think	Piensa
Eat	Come
Drink	Bebe
Read	Lee
Write	Escribe
Decide	Decide
Sleep	Duerme
Smile	Sonríe
say	di, (from decir)
do	haz, (from hacer)
go	ve, (from ir)
put	pon, (from poner)
leave	sal, (from salir)
be	sé, (from ser)
have	ten, (from tener)
come	ven, (from venir)
Write the letter	Escribe la carta
Write the letter to me	Escríbeme la carta
Write it to me	Escríbemela
Teach the lesson	Enseña la lección
Teach us the lesson	Enséñanos la lección
Teach it to us	Enséñanosla
Lend the money	Presta el dinero
Lend the money to María	Préstale el dinero a María
Lend it to her	Préstaselo
Bring the cookies to your colleagues	Tráeles las galletas a tus colegas
Bring them to them	Tráeselas
Give me the frying pan	Dame la sartén
Give it to me	Dámela
Tell us the idea	Dinos la idea
Tell it to us	Dínosla
Pardon me / Excuse me	Perdóname
Remember	Acuérdate, (from acordarse)
Go to bed	Acuéstate, (from acostarse)
Wake up	Despiértate, (from despertarse)
Go to sleep	Duérmete, (from dormirse)
Get up	Levántate, (from levantarse)
Sit down	Siéntate, (from sentarse)
Wash your hands	Lávate las manos
Wash them	Lávatelas
Take off your shoes	Quítate los zapatos
Take them off	Quítatelos
Put on your coat	Ponte el abrigo
Put it on	Póntelo
Don’t yell	No grites
Don’t smoke in my house, please	No fumes en mi casa, por favor
Don’t play with matches	No juegues con fósforos
Don’t lie	No mientas
Don’t run with scissors	No corras con tijeras
Don’t eat fast food	No comas comida rápida
Don’t climb the mountain alone	No subas la montaña solo
Don’t drink that water	No bebas esa agua
Don’t open the window	No abras la ventana
Don’t open it	No la abras
Don’t close the door	No cierres la puerta
Don’t close it	No la cierres
Don’t do it	No lo hagas
Don’t say it to me	No me lo digas
Don’t bring me the cakes	No me traigas las tortas
Don’t bring them to me	No me las traigas
Don’t tell us the same story	No nos cuentes el mismo cuento
Don’t tell it to us	No nos lo cuentes
Don’t write a letter to Fred	No le escribas una carta a Federico
Don’t write it to him	No se la escribas
Don’t lend them money	No les prestes dinero
Don’t lend it to them	No se lo prestes
Don’t give anything to Dorothy	No le des nada a Dorotea
Don’t get angry	No te enfades
Don’t go	No te vayas
Don’t complain	No te quejes
Don’t be afraid	No te asustes
Don’t put on your coat in the summer	No te pongas el abrigo en el verano
Don’t put it on	No te lo pongas
Don’t take off your hat in the winter	No te quites el sombrero en el invierno
Don’t take it off	No te lo quites
Take an aspirin if you have a headache	Tome una aspirina si tiene dolor de cabeza
Sign here	Firme aquí
Enter, please	Entre Ud., por favor
Sing. Dance. Listen to music	Cante. Baile. Escuche música
Wait	Espere Ud
Open the window, please	Abra la ventana, por favor
Eat. Drink	Coma. Beba
Come to my house at seven o’clock	Venga a mi casa a las siete
Be careful	Tenga cuidado
Do your exercises	Haga sus ejercicios
Don’t take an aspirin	No tome una aspirina
Don’t enter	No entre Ud
Don’t eat, don’t drink	No coma, no beba
Don’t come to my house at seven, but rather at eight	No venga a mi casa a las siete; sino a las ocho
Buy the house	Compren la casa
Turn off the light	Apaguen la luz
Walk	Caminen Uds
Repeat the sentence, please	Repitan la frase, por favor
Read the newspaper	Lean el periódico
Don’t talk	No hablen
Don’t smoke in the house	No fumen en la casa
Don’t leave	No salgan
Don’t turn on the light	No prendan la luz
Don’t put your clothes on the floor	No pongan su ropa en el piso
Tell. Tell me. Tell it to me	Diga. Dígame. Dígamelo
Listen to me	Escúcheme
Kiss her	Bésela
Sit down, please	Siéntese Ud
Serve the dessert, please	Sirva el postre, por favor
Serve it	Sírvalo
Believe me	Créame
Help her	Ayúdenla
Give them their money	Denles su dinero
Wait for me, please	Espérenme, por favor
Stay	Quédense
Teach us the idea. Teach it to us	Enséñennos la idea. Enséñennosla
Don’t bring me water	No me traiga agua
Don’t say anything to anybody	No le diga nada a nadie
Don’t wait for us	No nos espere
Don’t fall down	No se caiga
Don’t despair	No se desespere
Don’t worry	No se preocupe
Don’t touch it	No lo toquen
Don’t laugh	No se rían
to hold back laughter	aguantar la risa
to turn	doblar
to relate	relatar
town hall	el ayuntamiento
the trail	la pista
sweaty	sudado
Let’s sing. Let’s dance	Cantemos. Bailemos
Let’s wait a moment	Esperemos un momento
Let’s have coffee	Tomemos un café
Let’s begin the lesson	Empecemos la lección
Let’s leave now	Salgamos ahora
Let’s open the book	Abramos el libro
Let’s read this chapter in class	Leamos este capítulo en clase
Let’s tell the truth	Digamos la verdad
Let’s tell it	Digámosla
Let’s do the homework	Hagamos la tarea
Let’s do it	Hagámosla
Let’s bring flowers to the teacher	Traigámosle las flores al maestro
Let’s kiss the children	Besemos a los niños
Let’s kiss them	Besémoslos
Let’s cross the street	Crucemos la calle
Let’s cross it	Crucémosla
Let’s not smoke	No fumemos
Let’s not say anything to the doctor	No le digamos nada al doctor
Let’s not buy them anything	No les compremos nada
Let’s not go to bed late	No nos acostemos tarde
Let’s go	Vámonos
Let’s sit down	Sentémonos
Let’s go to bed	Acostémonos
Let’s take a shower	Duchémonos
Let’s get up	Levantémonos
She wants a dog. Let’s buy it for her	Ella quiere un perro. Comprémoselo
Gloria needs our help. Let’s give it to her	Gloria necesita nuestra ayuda. Démosela
Let’s warn the others	Advirtamos a los otros
Let’s repeat the question	Repitamos la pregunta
Let’s serve supper	Sirvamos la cena
Let’s follow the signs	Sigamos las señales
Let’s go to sleep now. It’s already late	Durmámonos ahora. Ya es tarde
Go	Id
Leave	Salid
Come	Venid
Tell	Decid
Read the book. Read it	Leed el libro. Leedlo
Close the door. Close it	Cerrad la puerta. Cerradla
Open the window. Open it	Abrid la ventana. Abridla
Have breakfast. Bathe	Desayunaos. Bañaos
Put on your jacket. Put it on	Poneos la chaqueta. Ponéosla
Have a good time on your vacation	Divertíos en vuestras vacaciones
Don’t sing that song	No cantéis esa canción
Don’t dance here	No bailéis aquí
Don’t eat this fish	No comáis este pescado
Don’t eat it	No lo comáis
Don’t drink the water	No bebáis el agua
Don’t drink it	No la bebáis
Don’t bring the package to Susan	No le traigáis el paquete a Susana
Don’t bring it to her	No se lo tragáis
Don’t close that door	No cerréis aquella puerta
Don’t sit down in this broken chair	No os sentéis en esta silla rota
Don’t fall	No os caigáis
Don’t die	No os muráis
Don’t correct me	No me corrijáis
Don’t repeat your idea	No repitáis vuestra idea
Don’t follow a bad leader	No sigáis a un mal líder
to hide	esconderse
to mumble, to whisper	murmurar
the disguise	el disfraz
my daughter	m’hija
small group	grupito
dear girl	niñita
trick or treat (from the sound of English trick or treat)	triqui triqui
this	este (m.) | esta (f.)
these	estos (m.) | estas (f.)
that	ese (m.) | esa (f.)
those	esos (m.) | esas (f.)
that (over there)	aquel (m.) | aquella (f.)
those (over there)	aquellos (m.) | aquellas (f.)
this one	éste (m.) | ésta (f.)
these (ones)	éstos (m.) | éstas (f.)
that one	ése (m.) | ésa (f.)
those (ones)	ésos (m.) | ésas (f.)
that one (over there)	aquél (m.) | aquélla (f.)
to act	actuar
to forget (by accident)	olvidarse
to take a walk, to stroll	pasear
to lose (by accident)	perderse
with himself	consigo
as soon as possible	lo antes posible
the most possible	lo más posible
the fastest possible	lo más pronto posible
the least possible	lo menos posible
to keep	aguardar
to have been (present perfect tense)	haber sido
to suspect	sospechar
to tempt	tentar
the fright	el espanto
the sorrow	la pesadumbre
the clusters / bunches	los racimos
the bouquets	los ramos
the path	el rumbo
hardly	apenas
without direction	sin rumbo
rented	alquilado, (from alquilar)
squeezed, tightened	apretado, (from apretar)
increased, augmented	aumentado, (from aumentar)
erased	borrado, (from borrar)
disappointed	decepcionado, (from decepcionar)
pushed	empujado, (from empujar)
parked	estacionado, (from estacionar)
been	estado, (from estar)
arrived	llegado, (from llegar)
dialed, marked	marcado, (from marcar)
taken	tomado, (from tomar)
used	usado, (from usar)
traveled	viajado, (from viajar)
drunk	bebido, (from beber)
eaten	comido, (from comer)
understood	entendido, (from entender)
lost	perdido, (from perder)
twisted	torcido, (from torcer)
warned	advertido, (from advertir)
added	añadido, (from añadir)
converted	convertido, (from convertir)
slept	dormido, (from dormir)
boiled	hervido, (from hervir)
gone	ido, (from ir)
pressed	oprimido, (from oprimir)
received	recibido, (from recibir)
attracted	atraído, (from atraer)
fallen	caído, (from caer)
believed	creído, (from creer)
read	leído, (from leer)
heard	oído, (from oír)
brought	traído, (from traer)
destroyed	destruido, (from destruir)
fled	huido, (from huir)
opened	abierto, (from abrir)
covered	cubierto, (from cubrir)
told, said	dicho, (from decir)
written	escrito, (from escribir)
fried	frito, (from freír)
done	hecho, (from hacer)
died	muerto, (from morir)
rotted	podrido, (from pudrir)
seen	visto, (from ver)
returned	vuelto, (from volver)
described	descrito, (from describir)
discovered	descubierto, (from descubrir)
returned (an object)	devuelto, (from devolver)
dissolved	disuelto, (from disolver)
wrapped	envuelto, (from envolver)
opposed	opuesto, (from oponer)
resolved	resuelto, (from resolver)
to feel old	estar viejo
to become involved	meterse
to skate	patinar
to fight	pelear
the lease	el contrato de arrendamiento
the tenant	el inquilino
the doorman	el portero
the superintendent	el superintendente
pretty and intelligent	bonita e inteligente
daily	cotidiano
red headed	pelirrojo
every other year	año de por medio
to go well / badly for someone	cogerle bien / mal a alguien
let’s say	digamos
to struggle	luchar
to dream about	soñar con
to try to	tratar de
the nightmare	la pesadilla
the fish (sing. and pl.)	el pez, los peces
the shark	el tiburón
wide-awake	despierto
exhausted	exhausto
What could it be?	¿qué será?
the preferred restaurant	el restaurante preferido
the lost telephone	el teléfono perdido
the rotten eggs	los huevos podridos
the known enemy	el enemigo conocido
the closed window	la ventana cerrada
the open(ed) doors	las puertas abiertas
I am tired	Estoy cansada
Are you dressed?	¿Estás vestido?
The bathroom is occupied	El baño está ocupado
The table is set	La mesa está puesta
The television set is on	El televisor está prendido
We are angry	Estamos enojados
We are seated	Estamos sentados
You are mistaken	Uds. están equivocados
The workers are worried	Los trabajadores están preocupados
to hurry	apresurarse
to make one’s way, to direct oneself	dirigirse
came	viniera
to take care of, to care for	cuidar
to vote	votar
the lover	el amante
the amnesiac	el amnésico
the cripple, the lame person	el cojo
the glutton	el glotón
the insomniac	el insomne
the juggler	el juglar
the future	el porvenir
to learn by heart, to memorize	aprender de memoria
to copy	copiar
to get hurt	lesionarse
to dare (to)	atreverse (a)
to snorkel, to skin dive	bucear
to sigh	suspirar
the coat	el abrigo
the robe	la bata
the boots	las botas
the socks	los calcetines
the vest	el chaleco
the jacket	la chaqueta
the skirt	la falda
the raincoat	el impermeable
the edge, the border	el lindero
the big suitcase	el maletón
the nut, the nuts	la nuez, las nueces
the pants	los pantalones
the umbrella	el paraguas
the frog	la rana
the king	el rey
the bathing suit	el traje de baño
the last time	la última vez
outside (of)	fuera de
outside (my window)	más allá de (mi ventana)
to board	abordar
to convince	convencer
to get along (well)	llevarse (bien)
the hurricane	el huracán
the waves	las olas
the neighborhood	el vecindario
twinkling	centelleante
unquiet, agitated	inquieto
seasick	mareado
and indecisive	e indecisa
round-trip ticket	el pasaje de ida y vuelta
to find out, to verify	averiguar
to become informed	enterarse
to climb	escalar
to excavate, to dig	excavar
to suppose	suponer
to zigzag	zigzaguear
to combine	combinar
to get drunk	emborracharse
to bake	hornear
to baste	lardear
to have to	tocarle (a uno)
the olive	la aceituna
the squid	los calamares
the onion	la cebolla
the sausage	el chorizo
the pork chop	la chuleta
gluttony	la glotonería
the peas	los guisantes
the ham	el jamón
the string bean	la judía verde
the pound	la libra
the apple	la manzana
the shellfish	el marisco
the mussel	el mejillón
the traditional rice dish of Spain	la paella
the raisin	la pasa
the pumpkin pie	el pastel de calabaza
the duck	el pato
the turkey	el pavo
the fish	el pescado
the main course	el plato fuerte
the roast chicken	el pollo asado
the eggnog	el ponche de huevo
the cheese	el queso
the vegetables	las verduras
cloudy	nublado
perhaps	tal vez
by dint of	a fuerza de
at the same time	a la vez
in the distance	a lo lejos
probably	a lo mejor
on foot	a pie
at the beginning of	a principios de
across	a través de
in the open air	al aire libre
at the beginning, early on	al principio
inside out	al revés
in a good mood	de buen humor
willingly	de buena gana
by day	de día
in this way	de esta manera
from now on	de hoy en adelante
in a bad mood	de mal humor
unwillingly	de mala gana
by no means	de ninguna manera
by night	de noche
standing	de pie
suddenly	de pronto
really?	¿de veras?
every other day / week / month / year	día / semana / mes / año de por medio
on the other hand	en cambio
in regard to	en cuanto a
in fact, as a matter of fact	en efecto
nowhere, not anywhere	por ninguna parte
to have a (head)ache	tener dolor de (cabeza)
to take the blame, to be at fault	tener la culpa
a to have the floor	tener la palabra
to look bad	tener mala cara
to be afraid of, to have fear of	tener miedo de
to have a lot / a little / something / nothing to do	tener mucho / poco / algo / nada que hacer
to take someone for, to consider someone to be	tener por
to be lucky	tener suerte
to lead to (places)	dar a
to run into	dar con
to feed	dar de comer
to shout	dar gritos
to face	dar la cara
to strike the hour	dar la hora
to give thanks	dar las gracias
to give a hug, to embrace	dar un abrazo
to shake hands	darse la mano
to give up	darse por vencido
to miss (a person or place)	echar de menos
to flatter	echar flores
to blame	echar la culpa
to burst out crying	echarse a llorar
it’s good / bad weather	hace buen / mal tiempo
it’s hot / warm	hace calor
it’s cold	hace frío
it’s windy	hace viento
to pay attention to	hacer caso a
to harm	hacer daño a
to do good / bad	hacer el bien / el mal
to be lacking	hacer falta
to play a part	hacer un papel
to take a trip	hacer un viaje
to become	hacerse + profession
to become late	hacerse tarde
there is space	hay cupo
it is necessary	hay que
to carry out (a project, for example)	llevar a cabo
to take the opposite point of view	llevar la contraria
to carry (something) away	llevarse (algo)
to get along well / badly with	llevarse bien / mal con
to put one’s foot in one’s mouth	meter la pata
to snoop around	meter las narices
to meddle	meterse en donde no le llaman
to heap praise on someone	poner a alguien por las nubes
to make clear	poner en claro
to put in doubt	poner en duda
to make look ridiculous	poner en ridículo
to put the cards on the table	poner las cartas sobre la mesa
to sue	poner pleito
to start to	ponerse a
to be left astonished	quedar boquiabierto
to agree on	quedar en
to be left penniless	quedarse con el día y la noche
to take seriously	tomar en serio
to pull someone’s leg	tomarle el pelo
to take it easy	tomárselo con calma
to absolve	absolver
to have just (+ infinitive)	acabar de + infinitive
to be accustomed	acostumbrar
to warn	advertir
to concede	conceder
to deceive oneself	engañarse
to found	fundar
to impede	impeder
to mean, to signify	significar
chance	el azar
the army	el ejército
the hope	la esperanza
the hero	el héroe
the place, the destination	el paradero
the tomb, the grave	la tumba
since	puesto que
